x,flux,continuum,model
1500.0,5.11863237976606,6.097611572674701,1.0275385439162397
1501.0006671114077,6.594287021679669,6.092806979597852,1.0348295029213614
1502.001334222815,6.8386655036580954,6.0860738803235614,1.0419823288457501
1503.0020013342228,8.879640469004062,6.077552912415081,1.0489938702587656
1504.0026684456304,3.5283372753429725,6.06757566981811,1.055859934022077
1505.003335557038,7.338054522304703,6.056657722700464,1.0625776330318517
1506.0040026684455,9.116580280407383,6.0454270373125505,1.0691448286607326
1507.0046697798532,5.376868061041797,6.034554833320874,1.0755586305173341
1508.0053368912609,6.575818120990449,6.024692547345766,1.0818162445493151
1509.0060040026685,7.642484715036977,6.016393688852029,1.0879150499043948
1510.006671114076,7.851868419393667,6.010042510587295,1.093852535884744
1511.0073382254836,5.18747339870957,6.0057868442687505,1.099626535838606
1512.0080053368913,7.097857898747839,6.003495313075027,1.1052352815089386
1513.008672448299,6.896110170274983,6.002752528488904,1.1106757461880379
1514.0093395597064,5.1219030915859385,6.002819839346681,1.1159514708778662
1515.010006671114,7.033277260901632,6.002775467182028,1.1210667391606235
1516.0106737825217,5.767152388945281,6.001576164222425,1.1260315654809796
1517.0113408939292,6.588703818796861,5.998168006490091,1.1308658652049677
1518.0120080053368,8.894977203825167,5.991603781956213,1.1356061705867446
1519.0126751167445,4.667246633665749,5.981153443380552,1.1403163578187863
1520.0133422281522,7.663619673281085,5.966352897771225,1.1451062346339607
1521.0140093395596,8.5694779205275,5.947147393734475,1.1501586309746885
1522.0146764509673,9.58405772518506,5.923893818868943,1.1557579061045005
1523.015343562375,6.666392985993126,5.897240513310543,1.1623416133182658
1524.0160106737826,6.387767473249476,5.868090811017354,1.1705615437422723
1525.01667778519,4.0300275469213185,5.8375007303771556,1.1813581066905725
1526.0173448965977,6.8710492842664355,5.806562153205112,1.1960468121534351
1527.0180120080054,6.646944756084226,5.776318897073852,1.2165181197281563
1528.018679119413,10.298521409548506,5.747643931691132,1.245149809713487
1529.0193462308205,9.338778588842427,5.721163963694792,1.284900477013801
1530.0200133422281,8.174217573184306,5.697263405691057,1.339382663274355
1531.0206804536358,9.829312389945164,5.676091088216867,1.4127709279367522
1532.0213475650435,7.394186604996938,5.657594897714091,1.5096460528764135
1533.022014676451,8.183685306350181,5.641587496754584,1.6349622302517943
1534.0226817878586,11.300927210590782,5.6277602509419316,1.7934054485600694
1535.0233488992662,7.09031339910403,5.615730288912324,1.9881315291730048
1536.0240160106737,9.238420749342334,5.605145178946366,2.221177183340787
1537.0246831220813,8.484824068277728,5.595681936726335,2.4924752471430147
1538.025350233489,8.057026134189462,5.587067162041597,2.7992646451550915
1539.0260173448967,10.499782147785428,5.579090703184672,3.1359086172825044
1540.026684456304,7.3886752186014375,5.571592761759262,3.492824682792169
1541.0273515677118,10.727667022708113,5.56446511114559,3.8572101732734807
1542.0280186791194,6.834159494587969,5.55765129054173,4.21406568846792
1543.028685790527,10.429265354504983,5.55112871546868,4.546789279997004
1544.0293529019345,9.836009446441745,5.54489615093172,4.838404433048157
1545.0300200133422,10.634547845346862,5.5389735324809335,5.071264977361556
1546.0306871247499,10.992510849828314,5.533355996651563,5.232888041779041
1547.0313542361575,10.98181997053274,5.528032327437146,5.313796486451434
1548.032021347565,9.362194309623353,5.522960599190818,5.3091677888654045
