,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,2222.29,3.217693e-16,1.69692e-16
1,1,2222.8,6.265513000000002e-16,2.178e-16
2,2,2223.31,6.870473000000001e-16,2.2605e-16
3,3,2223.83,3.249243e-16,1.71034e-16
4,4,2224.34,5.329473e-16,1.44151e-16
5,5,2224.86,6.220083e-16,1.53023e-16
6,6,2225.37,2.596513e-16,1.11555e-16
7,7,2225.89,3.157133e-16,1.18193e-16
8,8,2226.4,7.043353000000001e-16,1.29782e-16
9,9,2226.91,4.476753000000002e-16,1.08462e-16
10,10,2227.43,5.8542330000000015e-16,1.20336e-16
11,11,2227.94,4.895513e-16,1.12484e-16
12,12,2228.46,6.283043000000001e-16,1.07918e-16
13,13,2228.97,4.982963e-16,9.89129e-17
14,14,2229.49,5.332973e-16,1.01998e-16
15,15,2230.0,5.928813e-16,1.06251e-16
16,16,2230.52,5.279733000000001e-16,9.0938e-17
17,17,2231.03,5.025003e-16,8.91175e-17
18,18,2231.54,3.8339929999999996e-16,8.07967e-17
19,19,2232.06,7.343553e-16,1.03824e-16
20,20,2232.57,5.1695930000000005e-16,9.02963e-17
21,21,2233.09,4.301813e-16,8.4084e-17
22,22,2233.6,4.2429829999999997e-16,8.31147e-17
23,23,2234.12,6.764783e-16,9.88672e-17
24,24,2234.63,5.555563000000001e-16,9.11268e-17
25,25,2235.14,4.642753000000001e-16,8.5265e-17
26,26,2235.66,4.566303e-16,8.51031e-17
27,27,2236.17,6.509293e-16,9.80543e-17
28,28,2236.69,4.620093e-16,8.59584e-17
29,29,2237.2,4.620273e-16,8.59621e-17
30,30,2237.72,3.283413e-16,7.58561e-17
31,31,2238.23,2.431483e-16,6.85974e-17
32,32,2238.74,4.067303e-16,8.13196e-17
33,33,2239.26,5.005113000000001e-16,8.78182e-17
34,34,2239.77,6.093933e-16,9.50634e-17
35,35,2240.29,4.928763e-16,8.766e-17
36,36,2240.8,6.142543000000001e-16,9.57355e-17
37,37,2241.31,5.328023000000001e-16,9.06817e-17
38,38,2241.83,4.727793000000001e-16,8.66094e-17
39,39,2242.34,4.941383000000001e-16,8.78564e-17
40,40,2242.86,3.967243e-16,8.0769e-17
41,41,2243.37,3.236903e-16,7.50023e-17
42,42,2243.89,3.782173e-16,7.87502e-17
43,43,2244.4,5.915723e-16,9.26112e-17
44,44,2244.91,5.951373e-16,9.22389e-17
45,45,2245.43,5.018493000000001e-16,8.6105e-17
46,46,2245.94,5.219843000000002e-16,8.72186e-17
47,47,2246.46,5.688723000000001e-16,9.0337e-17
48,48,2246.97,4.694243000000002e-16,8.40794e-17
49,49,2247.48,4.626363e-16,8.40171e-17
50,50,2248.0,5.223963e-16,8.82013e-17
51,51,2248.51,5.589973e-16,9.07223e-17
52,52,2249.03,5.248903000000001e-16,8.8568e-17
53,53,2249.54,6.054843e-16,9.36592e-17
54,54,2250.06,5.216003000000001e-16,8.80876e-17
55,55,2250.57,4.831943000000001e-16,8.52137e-17
56,56,2251.08,4.460133e-16,8.2427e-17
57,57,2251.6,4.541353000000001e-16,8.2706e-17
58,58,2252.11,5.520463e-16,8.88575e-17
59,59,2252.63,2.029103e-16,6.28642e-17
60,60,2253.14,4.352843e-16,8.07477e-17
61,61,2253.65,4.022763e-16,7.84732e-17
62,62,2254.17,4.473673e-16,8.16608e-17
63,63,2254.68,5.565793000000001e-16,8.86351e-17
64,64,2255.2,6.747523e-16,9.54825e-17
65,65,2255.71,3.432353e-16,7.38293e-17
66,66,2256.22,3.561293e-16,7.49706e-17
67,67,2256.74,4.279183e-16,8.05786e-17
68,68,2257.25,2.991713e-16,7.16841e-17
69,69,2257.77,5.456213e-16,8.97338e-17
