,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,2224.34,6.55422e-17,4.38412e-17
1,1,2224.86,1.49548e-17,2.5272e-17
2,2,2225.37,4.0224533e-17,3.55068e-17
3,3,2225.89,6.51061e-17,4.30986e-17
4,4,2226.4,7.268499999999998e-18,1.64762e-17
5,5,2226.91,5.66229e-17,3.28092e-17
6,6,2227.43,4.0213843e-17,2.84732e-17
7,7,2227.94,7.230299999999998e-18,1.64894e-17
8,8,2228.46,1.5236e-17,1.76539e-17
9,9,2228.97,2.76393e-17,2.17499e-17
10,10,2229.49,2.1968000000000005e-18,1.26644e-17
11,11,2230.0,5.28401e-17,2.82946e-17
12,12,2230.52,7.06116e-17,2.86895e-17
13,13,2231.03,6.04173e-17,2.67732e-17
14,14,2231.54,8.074520000000001e-17,3.04284e-17
15,15,2232.06,1.98422e-17,1.7604e-17
16,16,2232.57,4.0165735e-17,2.27212e-17
17,17,2233.09,7.05098e-17,2.86108e-17
18,18,2233.6,6.01614e-17,2.64544e-17
19,19,2234.12,6.408000000000006e-19,9.88081e-18
20,20,2234.63,1.06861e-17,1.38952e-17
21,21,2235.14,4.0157341e-17,2.2054e-17
22,22,2235.66,6.00277e-17,2.62944e-17
23,23,2236.17,5.0158070000000007e-17,2.45277e-17
24,24,2236.69,3.01019e-17,2.00764e-17
25,25,2237.2,3.00978e-17,2.00773e-17
26,26,2237.72,6.00877e-17,2.63947e-17
27,27,2238.23,5.004106e-17,2.42669e-17
28,28,2238.74,1.04787e-17,1.39785e-17
29,29,2239.26,3.02457e-17,1.97647e-17
30,30,2239.77,5.00522e-17,2.43222e-17
31,31,2240.29,8.98873e-17,3.14767e-17
32,32,2240.8,4.0112967e-17,2.236e-17
33,33,2241.31,0.0,1.00271e-17
34,34,2241.83,6.0142e-17,2.65061e-17
35,35,2242.34,1.01751e-17,1.41084e-17
36,36,2242.86,2.02599e-17,1.71841e-17
37,37,2243.37,3.02373e-17,1.9728e-17
38,38,2243.89,3.03236e-17,1.95557e-17
39,39,2244.4,3.04292e-17,1.93467e-17
40,40,2244.91,3.054279e-17,1.91224e-17
41,41,2245.43,4.0102453e-17,2.12897e-17
42,42,2245.94,4.0100935e-17,2.12025e-17
43,43,2246.46,4.960585e-17,2.32928e-17
44,44,2246.97,8.7828e-17,3.0191e-17
45,45,2247.48,2.0829e-17,1.66763e-17
46,46,2248.0,3.04103e-17,1.93397e-17
47,47,2248.51,3.03729e-17,1.94052e-17
48,48,2249.03,1.0941900000000002e-17,1.37321e-17
49,49,2249.54,5.94858e-17,2.5686e-17
50,50,2250.06,2.07535e-17,1.6727e-17
51,51,2250.57,2.08897e-17,1.66091e-17
52,52,2251.08,2.09986e-17,1.65144e-17
53,53,2251.6,5.9023e-17,2.5076e-17
54,54,2252.11,1.17844e-17,1.33324e-17
55,55,2252.63,2.13503e-17,1.62091e-17
56,56,2253.14,3.072459e-17,1.86806e-17
57,57,2253.65,1.2025100000000002e-17,1.32166e-17
58,58,2254.17,3.0700210000000004e-17,1.87161e-17
59,59,2254.68,4.0056763e-17,2.08627e-17
60,60,2255.2,4.0056122e-17,2.0761e-17
61,61,2255.71,5.85904e-17,2.45212e-17
62,62,2256.22,5.866640000000001e-17,2.46281e-17
63,63,2256.74,6.827139999999999e-17,2.66154e-17
64,64,2257.25,4.0032013e-17,2.13426e-17
65,65,2257.77,4.0022647e-17,2.16344e-17
66,66,2258.28,1.0804500000000001e-17,1.37707e-17
67,67,2258.79,4.9736860000000006e-17,2.38147e-17
68,68,2259.31,3.0385800000000004e-17,1.92612e-17
69,69,2259.82,3.04797e-17,1.90771e-17
70,70,2260.34,6.844590000000001e-17,2.68013e-17
71,71,2260.85,2.11899e-17,1.63067e-17
72,72,2261.36,4.0020989e-17,2.0859e-17
73,73,2261.88,3.082883e-17,1.83928e-17
74,74,2262.39,2.18173e-17,1.57705e-17
75,75,2262.91,1.2703700000000001e-17,1.28793e-17
76,76,2263.42,4.0016927e-17,2.05869e-17
77,77,2263.93,2.1312e-17,1.61902e-17
78,78,2264.45,2.10651e-17,1.63963e-17
79,79,2264.96,1.13239e-17,1.35135e-17
80,80,2265.48,3.03994e-17,1.91734e-17
81,81,2265.99,2.08434e-17,1.65766e-17
82,82,2266.5,1.1391199999999998e-17,1.34788e-17
83,83,2267.02,2.198e-18,9.44701e-18
84,84,2267.53,4.9365180000000007e-17,2.2971e-17
85,85,2268.05,4.9290540000000003e-17,2.27838e-17
86,86,2268.56,1.2198000000000002e-17,1.31007e-17
87,87,2269.07,3.9989784e-17,2.05747e-17
88,88,2269.59,3.088915e-17,1.82074e-17
89,89,2270.1,5.79738e-17,2.37811e-17
90,90,2270.62,4.4696e-18,8.88278e-18
91,91,2271.13,4.0002210000000006e-17,1.97151e-17
92,92,2271.64,1.36167e-17,1.24378e-17
93,93,2272.16,3.1188130000000005e-17,1.76199e-17
94,94,2272.67,4.8845570000000004e-17,2.16832e-17
95,95,2273.19,1.32613e-17,1.2599e-17
96,96,2273.7,1.75793e-17,1.58416e-17
97,97,2274.21,3.9977215e-17,2.25377e-17
98,98,2274.73,3.9974307e-17,2.25661e-17
99,99,2275.24,1.74703e-17,1.59122e-17
100,100,2275.75,2.87871e-17,1.9377e-17
101,101,2276.27,6.22624e-17,2.72972e-17
102,102,2276.78,3.9972624e-17,2.22692e-17
103,103,2277.3,3.9969869e-17,2.22947e-17
104,104,2277.81,6.22737e-17,2.73194e-17
105,105,2278.32,1.7637399999999998e-17,1.57879e-17
106,106,2278.84,7.33016e-17,2.93999e-17
107,107,2279.35,5.0996300000000003e-17,2.46617e-17
108,108,2279.86,3.9971587e-17,2.17961e-17
109,109,2280.38,3.9973042e-17,2.16552e-17
110,110,2280.89,3.9971793e-17,2.16251e-17
111,111,2281.41,1.82906e-17,1.53286e-17
112,112,2281.92,6.17255e-17,2.66517e-17
113,113,2282.43,2.90389e-17,1.89166e-17
114,114,2282.95,2.9012800000000003e-17,1.89565e-17
115,115,2283.46,5.08937e-17,2.44582e-17
116,116,2283.98,4.8951999999999984e-18,8.76442e-18
117,117,2284.49,1.35741e-17,1.24333e-17
118,118,2285.0,3.9945466e-17,1.97216e-17
119,119,2285.52,3.9944796e-17,1.9678e-17
120,120,2286.03,2.23703e-17,1.52191e-17
121,121,2286.54,7.51439e-17,2.64022e-17
122,122,2287.06,2.22818e-17,1.52901e-17
123,123,2287.57,3.9935275e-17,1.97462e-17
124,124,2288.08,3.9937574e-17,1.96026e-17
125,125,2288.6,3.9941309e-17,1.94113e-17
126,126,2289.11,3.9944296e-17,1.92471e-17
127,127,2289.63,3.140336e-17,1.70867e-17
128,128,2290.14,4.8437360000000005e-17,2.07933e-17
129,129,2290.65,6.2693999999999984e-18,8.420480000000001e-18
130,130,2291.17,4.8338120000000006e-17,2.0542e-17
131,131,2291.68,5.6765e-17,2.22458e-17
132,132,2292.19,3.9943976e-17,1.89041e-17
133,133,2292.71,3.139981e-17,1.70739e-17
134,134,2293.22,4.8505610000000006e-17,2.09993e-17
135,135,2293.74,5.70698e-17,2.26722e-17
136,136,2294.25,2.29357e-17,1.47212e-17
137,137,2294.76,3.151844e-17,1.68391e-17
138,138,2295.28,3.9939162e-17,1.87348e-17
139,139,2295.79,6.5098e-17,2.3722e-17
140,140,2296.3,4.8391310000000007e-17,2.0725e-17
141,141,2296.82,1.5164359999999998e-16,3.64618e-17
142,142,2297.33,9.218209999999999e-17,2.88945e-17
143,143,2297.84,3.9903335e-17,1.96442e-17
144,144,2298.36,9.25247e-17,2.90879e-17
145,145,2298.87,5.732119999999998e-17,2.30389e-17
146,146,2299.39,5.290200000000004e-18,8.654330000000001e-18
147,147,2299.9,8.30062e-17,2.72574e-17
148,148,2300.41,7.433629999999999e-17,2.58215e-17
149,149,2300.93,7.41758e-17,2.57001e-17
150,150,2301.44,9.09341e-17,2.82036e-17
151,151,2301.95,8.19983e-17,2.66149e-17
152,152,2302.47,1.2304679999999998e-16,3.2194e-17
153,153,2302.98,3.9926257e-17,1.8417e-17
154,154,2303.49,5.62891e-17,2.16426e-17
155,155,2304.01,4.806721000000001e-17,1.99308e-17
156,156,2304.52,3.9934203e-17,1.80336e-17
