,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,2222.29,9.80872e-16,2.15271e-16
1,1,2222.8,1.470712e-15,2.42331e-16
2,2,2223.31,1.5207220000000002e-15,2.45443e-16
3,3,2223.83,1.2143220000000002e-15,2.30217e-16
4,4,2224.34,1.419902e-15,1.69025e-16
5,5,2224.86,1.139692e-15,1.58951e-16
6,6,2225.37,1.332822e-15,1.64951e-16
7,7,2225.89,1.289012e-15,1.61312e-16
8,8,2226.4,1.3437620000000002e-15,1.34718e-16
9,9,2226.91,1.417582e-15,1.36682e-16
10,10,2227.43,1.297012e-15,1.32427e-16
11,11,2227.94,9.458120000000001e-16,1.21423e-16
12,12,2228.46,1.259552e-15,1.14252e-16
13,13,2228.97,1.269632e-15,1.1526e-16
14,14,2229.49,1.2530420000000002e-15,1.15537e-16
15,15,2230.0,1.4392520000000001e-15,1.19865e-16
16,16,2230.52,1.245562e-15,1.02986e-16
17,17,2231.03,1.2623620000000001e-15,1.02981e-16
18,18,2231.54,1.342602e-15,1.05396e-16
19,19,2232.06,1.412672e-15,1.07116e-16
20,20,2232.57,1.1678120000000002e-15,1.00946e-16
21,21,2233.09,1.146852e-15,1.00305e-16
22,22,2233.6,1.368142e-15,1.04945e-16
23,23,2234.12,1.224132e-15,1.01341e-16
24,24,2234.63,1.3622920000000001e-15,1.03937e-16
25,25,2235.14,1.062262e-15,9.69823e-17
26,26,2235.66,1.4712520000000002e-15,1.07455e-16
27,27,2236.17,1.341982e-15,1.0434e-16
28,28,2236.69,1.394502e-15,1.05552e-16
29,29,2237.2,1.308262e-15,1.04063e-16
30,30,2237.72,1.341642e-15,1.04405e-16
31,31,2238.23,1.3031520000000001e-15,1.02912e-16
32,32,2238.74,1.4276820000000002e-15,1.05517e-16
33,33,2239.26,1.288152e-15,1.02488e-16
34,34,2239.77,1.1663620000000001e-15,9.983e-17
35,35,2240.29,1.3697620000000002e-15,1.04829e-16
36,36,2240.8,1.370212e-15,1.05241e-16
37,37,2241.31,1.270462e-15,1.02935e-16
38,38,2241.83,1.1491420000000002e-15,9.9624e-17
39,39,2242.34,1.2967220000000001e-15,1.03383e-16
40,40,2242.86,1.234472e-15,1.01282e-16
41,41,2243.37,1.372832e-15,1.04296e-16
42,42,2243.89,1.5846820000000002e-15,1.08946e-16
43,43,2244.4,1.2636720000000001e-15,1.00838e-16
44,44,2244.91,1.4017520000000002e-15,1.03387e-16
45,45,2245.43,1.420212e-15,1.03688e-16
46,46,2245.94,1.446132e-15,1.04129e-16
47,47,2246.46,1.238952e-15,9.98524e-17
48,48,2246.97,1.5029620000000001e-15,1.05903e-16
49,49,2247.48,1.347862e-15,1.02807e-16
50,50,2248.0,1.2269720000000001e-15,9.99111e-17
51,51,2248.51,1.406592e-15,1.03956e-16
52,52,2249.03,1.205232e-15,9.96916e-17
53,53,2249.54,1.254222e-15,1.01112e-16
54,54,2250.06,1.194072e-15,9.86827e-17
55,55,2250.57,1.427072e-15,1.0431e-16
56,56,2251.08,1.619092e-15,1.08324e-16
57,57,2251.6,1.181992e-15,9.79621e-17
58,58,2252.11,1.2983320000000002e-15,1.00504e-16
59,59,2252.63,1.310012e-15,1.00354e-16
60,60,2253.14,1.6089320000000001e-15,1.06648e-16
61,61,2253.65,1.427622e-15,1.02678e-16
62,62,2254.17,1.5404220000000001e-15,1.05034e-16
63,63,2254.68,1.489502e-15,1.03943e-16
64,64,2255.2,1.6577620000000002e-15,1.07587e-16
65,65,2255.71,1.5083820000000001e-15,1.04274e-16
66,66,2256.22,1.2657420000000002e-15,9.90075e-17
67,67,2256.74,1.507682e-15,1.05018e-16
68,68,2257.25,1.494802e-15,1.05285e-16
69,69,2257.77,1.5571220000000002e-15,1.0731e-16
70,70,2258.28,1.452682e-15,1.05706e-16
71,71,2258.79,1.500422e-15,1.06773e-16
72,72,2259.31,1.510242e-15,1.06472e-16
73,73,2259.82,1.435472e-15,1.0383e-16
74,74,2260.34,1.529682e-15,1.05742e-16
75,75,2260.85,1.5198720000000002e-15,1.04918e-16
76,76,2261.36,1.414282e-15,1.02228e-16
77,77,2261.88,1.3912120000000002e-15,1.0119e-16
78,78,2262.39,1.545142e-15,1.0416e-16
79,79,2262.91,1.182502e-15,9.58099e-17
80,80,2263.42,1.292942e-15,9.90957e-17
81,81,2263.93,1.402422e-15,1.02343e-16
82,82,2264.45,1.368182e-15,1.01646e-16
83,83,2264.96,1.362922e-15,1.02622e-16
84,84,2265.48,1.315792e-15,1.01619e-16
85,85,2265.99,1.293432e-15,1.01248e-16
86,86,2266.5,1.172782e-15,9.782e-17
87,87,2267.02,1.228822e-15,9.87838e-17
88,88,2267.53,1.1512720000000001e-15,9.68097e-17
89,89,2268.05,1.1931420000000001e-15,9.74342e-17
90,90,2268.56,1.219222e-15,9.79056e-17
91,91,2269.07,1.1477420000000002e-15,9.53251e-17
92,92,2269.59,1.3080720000000002e-15,9.89962e-17
93,93,2270.1,1.2649120000000001e-15,9.70255e-17
94,94,2270.62,1.252202e-15,9.62588e-17
95,95,2271.13,1.1142320000000002e-15,9.30567e-17
96,96,2271.64,1.133392e-15,9.28209e-17
97,97,2272.16,1.0971920000000002e-15,9.22715e-17
98,98,2272.67,1.1878420000000002e-15,9.44348e-17
99,99,2273.19,1.0493920000000001e-15,9.1456e-17
100,100,2273.7,1.180572e-15,1.06285e-16
101,101,2274.21,1.177332e-15,1.05801e-16
102,102,2274.73,1.457782e-15,1.13591e-16
103,103,2275.24,1.4535420000000002e-15,1.12982e-16
104,104,2275.75,1.2763720000000001e-15,1.08871e-16
105,105,2276.27,1.272482e-15,1.08425e-16
106,106,2276.78,1.316392e-15,1.08985e-16
107,107,2277.3,1.127122e-15,1.04897e-16
108,108,2277.81,1.335252e-15,1.09536e-16
109,109,2278.32,1.2325820000000002e-15,1.07202e-16
110,110,2278.84,1.2272920000000001e-15,1.07344e-16
111,111,2279.35,1.140612e-15,1.04451e-16
112,112,2279.86,1.174482e-15,1.04616e-16
113,113,2280.38,1.064032e-15,1.01766e-16
114,114,2280.89,1.1247720000000002e-15,1.03217e-16
115,115,2281.41,1.2736620000000001e-15,1.06962e-16
116,116,2281.92,1.241402e-15,1.06548e-16
117,117,2282.43,1.270622e-15,1.0732e-16
118,118,2282.95,1.277232e-15,1.07431e-16
119,119,2283.46,1.201142e-15,1.05835e-16
120,120,2283.98,1.3114920000000002e-15,9.70957e-17
121,121,2284.49,1.1635420000000002e-15,9.36429e-17
122,122,2285.0,1.3699620000000001e-15,9.85461e-17
123,123,2285.52,1.236032e-15,9.55746e-17
124,124,2286.03,1.2328320000000002e-15,9.53358e-17
125,125,2286.54,1.217222e-15,9.49318e-17
126,126,2287.06,1.197682e-15,9.47335e-17
