,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,1140.2,0.2808212766351848,4.18189e-14
1,1,1140.45,0.7438287624467451,4.95268e-14
2,2,1140.7,0.4709866874279765,4.32708e-14
3,3,1140.95,0.1386489392268265,3.21504e-14
4,4,1141.2,0.6246211524380637,4.27289e-14
5,5,1141.46,0.4234612069365019,3.55331e-14
6,6,1141.71,0.1909152277410644,3.00881e-14
7,7,1141.96,0.4988005091464074,3.5226e-14
8,8,1142.21,0.288627467336466,3.05534e-14
9,9,1142.46,0.2143497106701392,3.16748e-14
10,10,1142.71,0.6316389076832294,3.9228e-14
11,11,1142.96,0.1304703116359108,2.7953e-14
12,12,1143.22,0.0182657818394149,1.63722e-14
13,13,1143.47,0.0834916692154881,2.49122e-14
14,14,1143.72,0.2983125256813077,2.956e-14
15,15,1143.97,0.0,2.13521e-14
16,16,1144.22,0.6985508791117125,3.47675e-14
17,17,1144.47,0.158308849199361,2.42398e-14
18,18,1144.73,1.0,3.92822e-14
19,19,1144.98,0.6127637257900576,3.15839e-14
20,20,1145.23,0.3036771770797611,2.57477e-14
21,21,1145.48,0.4230541678638404,2.74119e-14
22,22,1145.73,0.316935065296173,2.49021e-14
23,23,1145.98,0.4763600666092024,2.72105e-14
24,24,1146.23,0.6297249744345479,2.97887e-14
25,25,1146.49,0.2528183787023563,2.19723e-14
26,26,1146.74,0.4897606888306007,2.63725e-14
27,27,1146.99,0.0885815885491489,1.67579e-14
28,28,1147.24,0.6997125238276194,2.90502e-14
29,29,1147.49,0.1059784539621044,1.34697e-14
30,30,1147.74,0.3164153374176267,1.87498e-14
31,31,1147.99,0.2855018397857136,1.74445e-14
32,32,1148.25,0.2637772299098798,1.71731e-14
33,33,1148.5,0.5345797842924627,2.14434e-14
34,34,1148.75,0.3251197946113279,1.7096e-14
35,35,1149.0,0.5135149330046126,2.06616e-14
36,36,1149.25,0.2263623837196728,1.50687e-14
37,37,1149.5,0.5424162519038924,2.05365e-14
38,38,1149.76,0.1273924165608519,1.19788e-14
39,39,1150.01,0.3469075843659922,1.69442e-14
40,40,1150.26,0.4211943005261385,1.80204e-14
41,41,1150.51,0.3663573324188471,1.63675e-14
42,42,1150.76,0.7766243716768775,2.20549e-14
43,43,1151.01,0.5891994846746313,1.97821e-14
44,44,1151.26,0.5158343605856419,1.83857e-14
45,45,1151.52,0.522929352846493,1.75776e-14
46,46,1151.77,0.2497142230419644,1.28964e-14
47,47,1152.02,0.3160859215457289,1.41405e-14
48,48,1152.27,0.5953861696310234,1.86544e-14
49,49,1152.52,0.234165639414358,1.16667e-14
50,50,1152.77,0.2830956750360697,1.27906e-14
51,51,1153.03,0.4061725505825216,1.47256e-14
52,52,1153.28,0.4863885207257808,1.57522e-14
53,53,1153.53,0.5290557929306504,1.59128e-14
54,54,1153.78,0.4309539698281322,1.47282e-14
55,55,1154.03,0.5501376363619512,1.63508e-14
56,56,1154.28,0.2325212633504181,1.0288e-14
57,57,1154.54,0.4195089888438855,1.35623e-14
58,58,1154.79,0.4664706391208574,1.39704e-14
59,59,1155.04,0.516926491987432,1.45634e-14
60,60,1155.29,0.4575304545552847,1.34655e-14
61,61,1155.54,0.5612257823337319,1.47954e-14
62,62,1155.79,0.3488500180734616,1.13309e-14
63,63,1156.04,0.4662620991785071,1.3236e-14
64,64,1156.3,0.3665484940326682,1.14642e-14
65,65,1156.55,0.511553885176363,1.36458e-14
66,66,1156.8,0.3568379474726504,1.06964e-14
67,67,1157.05,0.3564017900450755,1.0448e-14
68,68,1157.3,0.2939516465387004,9.19528e-15
69,69,1157.55,0.3557425721162015,1.00674e-14
70,70,1157.81,0.4811812011282783,1.22663e-14
71,71,1158.06,0.3474824594737379,9.82261e-15
72,72,1158.31,0.3550144587693363,9.63956e-15
73,73,1158.56,0.3774534338032433,9.90033e-15
74,74,1158.81,0.2573128006450835,7.36839e-15
75,75,1159.06,0.343011803360737,8.94624e-15
76,76,1159.32,0.416712236505921,9.94504e-15
77,77,1159.57,0.4191560156822037,9.88685e-15
78,78,1159.82,0.4049052456291573,9.5518e-15
79,79,1160.07,0.3948682182038378,9.43844e-15
80,80,1160.32,0.4256740474358855,9.86153e-15
81,81,1160.57,0.399542525156096,1.06004e-14
82,82,1160.83,0.4707990014798612,1.17204e-14
83,83,1161.08,0.3856781718925232,9.80637e-15
84,84,1161.33,0.3890147337331121,9.91778e-15
85,85,1161.58,0.4081597045220728,1.00208e-14
86,86,1161.83,0.3670483719981834,9.1749e-15
87,87,1162.08,0.2804797345518245,7.04965e-15
88,88,1162.34,0.4945640588360691,1.09343e-14
89,89,1162.59,0.4460599853558618,1.02135e-14
90,90,1162.84,0.4771038590702517,1.02532e-14
91,91,1163.09,0.3683810967038331,8.57838e-15
92,92,1163.34,0.4540818218049364,9.64775e-15
93,93,1163.59,0.5368103893054539,1.11563e-14
94,94,1163.85,0.5128337025262684,1.09645e-14
95,95,1164.1,0.3283498466072868,7.68995e-15
96,96,1164.35,0.480526231235267,1.03779e-14
97,97,1164.6,0.4889211224701015,1.04867e-14
98,98,1164.85,0.3850458324451076,8.60325e-15
99,99,1165.1,0.4997304428152583,9.81685e-15
100,100,1165.36,0.3995584359813272,8.47296e-15
101,101,1165.61,0.4233221803082684,7.82267e-15
102,102,1165.86,0.4981339537010433,8.88361e-15
103,103,1166.11,0.490546961650277,8.6292e-15
104,104,1166.36,0.4699015073575981,8.12146e-15
105,105,1166.62,0.3563882735673306,6.37469e-15
106,106,1166.87,0.5556600829834497,9.11398e-15
107,107,1167.12,0.4046896771183796,7.05659e-15
108,108,1167.37,0.5561080576744244,9.11145e-15
109,109,1167.62,0.4410063674195731,7.44885e-15
110,110,1167.87,0.4181635200306476,7.03538e-15
111,111,1168.13,0.3778509727229756,6.28737e-15
112,112,1168.38,0.4468053225572249,7.16912e-15
113,113,1168.63,0.4475869611559601,7.17212e-15
114,114,1168.88,0.4573566712699928,7.23607e-15
115,115,1169.13,0.4216052014495843,6.68636e-15
116,116,1169.38,0.5137474164218253,7.86528e-15
117,117,1169.64,0.4227282276576485,6.65293e-15
118,118,1169.89,0.501129205169319,7.67385e-15
119,119,1170.14,0.4066801522496053,6.29593e-15
120,120,1170.39,0.5441950203751248,8.06023e-15
121,121,1170.64,0.4158641740736964,6.22754e-15
122,122,1170.9,0.4544533318503826,6.63417e-15
123,123,1171.15,0.4674252886347276,6.82665e-15
124,124,1171.4,0.4907361923387059,7.13343e-15
125,125,1171.65,0.4458614862255506,6.46781e-15
126,126,1171.9,0.4448180141436423,6.4052e-15
127,127,1172.15,0.4339994253566033,6.1986e-15
128,128,1172.41,0.4926385400350347,6.93886e-15
129,129,1172.66,0.3857741002660043,5.29351e-15
130,130,1172.91,0.4899599603310687,6.81857e-15
131,131,1173.16,0.396179702730174,5.44585e-15
132,132,1173.41,0.4605195270623056,6.40493e-15
133,133,1173.66,0.4155204693538969,5.67376e-15
