specObjID,z
7054011510822293504,0.0004606231
7527985687154675712,0.0004606231
8228154971969048576,0.0006318502
7633630066040393728,0.0009558839
9994761487917535232,0.0009571632
4448697533695545344,0.001040112
9431877505210667008,0.001126411
8707962903645671424,0.001668037
9965345698181566464,0.001835943
10381950936843309056,0.003347305
12460607090636115968,0.006583221
9435221665414139904,0.00869149
1141789819425286144,0.009057861
1969251769947023360,0.009818753
6462719441977495552,0.009872552
10486899867745800192,0.01006097
4226655555274690560,0.01179424
8901602555915948032,0.01304713
1469348627829778432,0.01317231
8337328787156127744,0.0131769
519139120023365632,0.01336469
1496382045511772160,0.0135112
5958482858515648512,0.01400507
1976096230316468224,0.01404314
1480714554974431232,0.014366
10810957012617416704,0.01542638
10549791388803026944,0.01636215
6904217345507741696,0.01656961
1356846046860306432,0.01705317
12111502248447856640,0.01730915
4863904463998701568,0.01777818
9982319958640840704,0.01800537
1407535461408204800,0.01904729
5336780221772484608,0.01910245
4563282861596364800,0.01930216
3132298422976014336,0.0194578
372706169120122880,0.01948028
2257567360179267584,0.01981986
10823373792967151616,0.01988293
7181025171293360128,0.02015577
1141745564082268160,0.02068626
2517570803256551424,0.0207611
948127608191608832,0.02078444
1620334118438987776,0.0209481
9618668308929990656,0.02122046
10582455956276531200,0.02129004
2585112428261959680,0.02129865
1005601283572262912,0.02136538
2103270966724421632,0.02228924
2984769249869850624,0.02236884
2373430047240382464,0.02289685
4450683245672288256,0.02292169
10808888555948232704,0.02293855
1480669200119785472,0.02310827
1902869856911386624,0.0232155
4450683795428102144,0.02337871
2491789455665424384,0.02338363
2365533086311016448,0.02366029
1628086776218281984,0.02425128
507820747293485056,0.02501559
708351604511762432,0.02540408
4254847028948127744,0.02603401
6753180178959323136,0.02632613
3346327981948692480,0.02641799
2581764965027309568,0.02641824
990884591587846144,0.02645922
2743985813057464320,0.02714456
2350988190619297792,0.02744432
1125921941417388032,0.02764709
1070766310889121792,0.02783847
2514248630819383296,0.02785881
412226459424286720,0.02835876
1318466770251573248,0.02850778
8516422733109940224,0.02860401
1078688842124388352,0.02923287
591122503485646848,0.02935044
513431555163580416,0.02942964
2819285047805241344,0.02948944
7611190680434790400,0.03012113
1453552768588474368,0.03018187
692458168898316288,0.03022659
1544847973257603072,0.03034499
2256414251805599744,0.03037385
1933261189781940224,0.03039338
7316193087440834560,0.03060896
922241806492526592,0.03097322
1616928382027589632,0.03138351
10546484052827066368,0.03146036
1629341869412476928,0.03150504
2477096133420148736,0.03158603
667678195079735296,0.03167449
9353092273393651712,0.03195397
2368942396890179584,0.03201681
3240345229483599872,0.03221662
2362298041546860544,0.03226568
2497335392718579712,0.03240902
596772339471902720,0.03288136
669927520941926400,0.03290141
1622591966908803072,0.03297877
6015748723849842688,0.03303452
