PLATE,MJD,FIBRID,SDSS_NAME,RA,DEC,Z,SOURCE,Z_PIPE,ZWARNING,EXTINCTION,SN_MEDIAN_ALL
7666,57339,147,000003.82+250543.0,0.015927695,25.095283,1.4479663,PIPE,1.4479663,0,0.271605,3.1543088
7666,57339,843,000004.16+255546.2,0.017372422,25.929510,1.2268019,PIPE,1.2268019,0,0.175675,6.4345427
7666,57339,868,000005.19+263257.5,0.021646111,26.549323,1.4221867,PIPE,1.4221867,0,0.182590,1.8169682
7695,57654,447,000009.31+263536.1,0.038809729,26.593370,1.1539868,PIPE,1.1539868,0,0.175517,5.0615525
7695,57654,456,000011.11+264717.0,0.046332673,26.788069,2.0180000,VI,2.8454297,4,0.207281,2.5838916
7695,57654,458,000003.48+261739.8,0.014539317,26.294406,2.7448020,PIPE,2.7448020,0,0.181402,7.5632296
7695,57654,546,000002.63+281959.4,0.010958694,28.333171,1.4983063,PIPE,1.4983063,0,0.264973,2.7202232
7695,57654,548,000006.52+282532.6,0.027186994,28.425741,1.6562635,PIPE,1.6562635,0,0.257334,3.8597813
7695,57654,558,000010.59+280822.0,0.044142663,28.139469,1.5283675,PIPE,1.5283675,0,0.254600,4.2055750
7695,57654,561,000006.23+275800.3,0.025969712,27.966762,1.3607417,PIPE,1.3607417,0,0.241422,6.1636186
7695,57654,565,000000.36+274356.2,0.0015264841,27.732283,1.7705517,PIPE,1.7705517,0,0.263077,1.0090569
7695,57654,577,000002.09+272708.5,0.0087087992,27.452373,1.3600209,PIPE,1.3600209,0,0.251619,4.5513000
7696,57655,88,000002.92+275904.3,0.012203547,27.984543,1.5329156,PIPE,1.5329156,0,0.244153,7.1487117
7696,57655,882,000009.34+292733.4,0.038932042,29.459278,1.0644232,PIPE,1.0644232,0,0.241035,2.7231302
7696,57655,884,000008.47+292344.2,0.035330174,29.395638,1.5130000,VI,1.5130379,0,0.257804,1.9543763
7696,57655,900,000001.47+290007.0,0.0061410812,29.001964,1.5795377,PIPE,1.5795377,0,0.227265,4.6461277
7696,57655,906,000003.98+295651.3,0.016596765,29.947608,2.1322713,PIPE,2.1322713,0,0.246095,4.0330582
7696,57655,911,000001.08+295225.0,0.0045284103,29.873618,1.4958547,PIPE,1.4958547,0,0.233293,3.0276906
7696,57655,914,000006.01+295101.9,0.025078792,29.850542,1.4739642,PIPE,1.4739642,0,0.228436,3.6201205
7748,58396,508,000007.25+332616.0,0.030217495,33.437795,2.0980005,PIPE,2.0980005,0,0.200997,9.3204765
7749,58073,344,000009.00+302420.2,0.037529767,30.405622,2.0332577,PIPE,2.0332577,0,0.193942,3.9189615
7749,58073,356,000010.09+305559.4,0.042066261,30.933174,1.8101838,PIPE,1.8101838,0,0.181482,3.8200788
7749,58073,360,000000.72+305758.5,0.0030164358,30.966277,1.6227977,PIPE,1.6227977,0,0.186244,2.7656116
7749,58073,361,000011.77+294035.0,0.049076021,29.676413,1.5857860,PIPE,1.5857860,0,0.231150,6.8447733
7749,58073,660,000000.33+310325.3,0.0014145086,31.057048,2.0354915,PIPE,2.0354915,0,0.198869,2.2885926
