name,obsid
Safe_mode,6001010201
Safe_mode,2001010401
KIC_9650712,1200160159
Safe_mode,5001010401
U_Sco,5578010301
BKGD_RXTE_6,2012060238
GX_339-4,0133010101
Safe_mode,4001011001
Safe_mode,3001010401
Safe_mode,3001010701
Safe_mode,4001011203
Safe_mode,4001010201
Safe_mode,2001120105
Safe_mode,5001010802
Safe_mode,2001120104
Safe_mode,4001010402
Safe_mode,3001020304
Mkn_142,2200490113
Null,3001020203
PSR_B1509-58,0020020105
KIC_9650712,1200160172
Safe_mode,3001020701
PSR_J1119-6127,0020260102
AT2019wey,5201710396
4U_1630-47,3130010113
Safe_mode,4001010202
Safe_mode,2001030201
Safe_mode,2001120106
Safe_mode,4001010401
Safe_mode,3001020302
Safe_mode,2001110101
Safe_mode,4001011202
Safe_mode,3001020303
PSR_J2124-3358_opt1,4060040447
PSR_J0101-6422,4060050120
Safe_mode,5001010201
Safe_mode,3001020401
PSR_J1614-2230,4060310256
PSR_B1937+21,6070020809
Null,3001020202
Safe_mode,6001010203
Safe_mode,4001011002
Swift_J023017.0+283603,5202850244
Safe_mode,6001010202
Safe_mode,1001120101
Safe_mode,2001120103
Safe_mode,2001120102
Safe_mode,5001010701
Safe_mode,2001120101
SWCX_361d,4012190110
Safe_mode,1001080101
Null,3001020101
Safe_mode,1001160101
Safe_mode,4001011003
Safe_mode,4001010302
OHMAN_alert_2022-254T0005,5420220101
Null,3001020201
Safe_mode,4001011101
Safe_mode,1001100201
Safe_mode,4001010301
OHMAN_alert_2022-253T2231,5420180101
Safe_mode,1001180401
Safe_mode,1001180201
Safe_mode,2001060201
Safe_mode,2001060101
Safe_mode,2001010403
Null,3001010101
PSR_B0531+21,2013010111
Proxima_Cen,2605010201
Safe_mode,2001120108
Safe_mode,4001010802
Safe_mode,5001010204
Safe_mode,6001010207
Safe_mode,1001170601
XTE_J2012+381,5410520101
Safe_mode,4001010502
Safe_mode,2001090101
Safe_mode,4001010501
PSR_J2021+3651,4020580117
Null,3001020105
Null,3001020104
Safe_mode,6001010206
BKGD_RXTE_4,2012040214
Safe_mode,3001010301
Safe_mode,5001010301
BKGD_RXTE_8,4012080109
BKGD_RXTE_2,4012020217
Safe_mode,3001010601
Safe_mode,4001010701
Safe_mode,6001010205
Safe_mode,6001010204
Safe_mode,3001010501
Safe_mode,4001010101
Safe_mode,4001011301
Safe_mode,2001040101
AT2019cuk,4578010106
Safe_mode,1001130101
Safe_mode,1001070201
Safe_mode,1001070101
Null,3001010201
Safe_mode,5001010203
Joint_Mode,0001060101
Safe_mode,4001011201
Safe_mode,4001010801
OHMAN_alert_2022-329T1800,5420260101
Safe_mode,6001010101
PSR_B0833-45,4020180428
Safe_mode,2001120109
Safe_mode,5001010202
2S_0918-549,2050450124
Mkn_359,5706010128
Safe_mode,4001011204
Safe_mode,5001010101
Safe_mode,2001070101
GRO_J1744-28,4202210118
Safe_mode,4001010901
Swift_J1822.3-1606,0020460101
Safe_mode,5001010801
Safe_mode,2001080101
Safe_mode,3001020601
GX_9+1,0050240102
PSR_J0740+6620,4031020362
Null,3001020102
Safe_mode,2001020301
4U_1630-47,1130010108
Safe_mode,1001080201
Safe_mode,2001120107
RX_J0720.4-3125,1020140129
BE_Cet,2300010109
Safe_mode,1001100101
LMC_X-3,1101010115
Safe_mode,4001010601
Null,3001020103
SGR_0501+4516,1020080145
Safe_mode,2001020101
Safe_mode,1001110201
WISEA_J181036.03-812,4595030105
WISEA_J181036.03-812,4595030117
WISEA_J181036.03-812023.4,5551010201
WISEA_J181036.03-812023.4,5551010101
WISEA_J181036.03-812023.4,5551010301
WISEA_J181036.03-812023.4,5551014102
WISEA_J181036.03-812023.4,5551016001
WISEA_J181036.03-812023.4,5551014502
TIC_364588501,5707020120
WISEA_J181036.03-812023.4,5551010401
WISEA_J181036.03-812023.4,5551014501
WISEA_J181036.03-812023.4,5551015701
WISEA_J181036.03-812023.4,5551013602
WISEA_J181036.03-812023.4,5551014001
WISEA_J181036.03-812023.4,5551015001
TIC_364588501,5707020410
WISEA_J181036.03-812023.4,5551013901
WISEA_J181036.03-812023.4,5551011801
WISEA_J181036.03-812,4595030102
WISEA_J181036.03-812023.4,5551014101
WISEA_J181036.03-812,4595030106
WISEA_J181036.03-812023.4,5551013002
TIC_364588501,5707020118
TIC_364588501,5707020406
WISEA_J181036.03-812023.4,5551014301
WISEA_J181036.03-812023.4,5551010102
WISEA_J181036.03-812023.4,5551013001
WISEA_J181036.03-812023.4,5551014601
WISEA_J181036.03-812023.4,5551014201
WISEA_J181036.03-812023.4,5551013501
TIC_364588501,5707020126
WISEA_J181036.03-812023.4,5551012901
WISEA_J181036.03-812023.4,5551015601
WISEA_J181036.03-812023.4,5551016005
WISE_J181036.03-812,4595030101
WISEA_J181036.03-812023.4,5551014602
WISEA_J181036.03-812023.4,5551011701
TIC_364588501,5707020106
WISEA_J181036.03-812023.4,5551013801
WISEA_J181036.03-812023.4,5551015501
WISEA_J181036.03-812023.4,5551013701
WISEA_J181036.03-812023.4,5551012301
WISEA_J181036.03-812023.4,5551012201
WISEA_J181036.03-812023.4,5551012401
TIC_364588501,5707020103
WISEA_J181036.03-812023.4,5551014801
WISEA_J181036.03-812023.4,5551010601
WISEA_J181036.03-812023.4,5551016002
WISEA_J181036.03-812,4595030104
WISEA_J181036.03-812023.4,5551010901
WISEA_J181036.03-812023.4,5551010501
TIC_364588501,5707020404
WISEA_J181036.03-812023.4,5551012801
WISEA_J181036.03-812023.4,5551016004
WISEA_J181036.03-812023.4,5551015401
WISEA_J181036.03-812023.4,5551015201
WISEA_J181036.03-812023.4,5551010701
WISEA_J181036.03-812023.4,5551014603
TIC_364588501,5707020412
WISEA_J181036.03-812023.4,5551016003
WISEA_J181036.03-812023.4,5551013102
WISEA_J181036.03-812,4595030103
WISEA_J181036.03-812023.4,5551012701
WISEA_J181036.03-812023.4,5551013301
WISEA_J181036.03-812023.4,5551010801
TIC_364588501,5707020114
WISEA_J181036.03-812023.4,5551013201
WISEA_J181036.03-812023.4,5551011501
WISEA_J181036.03-812023.4,5551012101
WISEA_J181036.03-812,4595030109
WISEA_J181036.03-812023.4,5551013003
WISEA_J181036.03-812,4595030111
TIC_364588501,5707020409
TIC_364588501,5707020105
WISEA_J181036.03-812023.4,5551011101
WISEA_J181036.03-812023.4,5551015101
WISEA_J181036.03-812023.4,5551012302
WISEA_J181036.03-812,4595030110
WISEA_J181036.03-812023.4,5551011001
WISEA_J181036.03-812,4595030107
TIC_364588501,5707020130
TIC_364588501,5707020411
WISEA_J181036.03-812023.4,5551011201
WISEA_J181036.03-812,4595030114
WISEA_J181036.03-812023.4,5551013202
WISEA_J181036.03-812,4595030108
WISEA_J181036.03-812,4595030112
WISEA_J181036.03-812023.4,5551013101
TIC_364588501,5707020402
TIC_364588501,5707020201
