specobjID,plate,mjd,fiberID,z
8642642553618061312,7676,57329,854,2.177881
8645927345243576320,7679,57367,516,2.155143
8645953733522642944,7679,57367,612,2.424864
8645976273511012352,7679,57367,694,2.146488
8645976823266826240,7679,57367,696,2.030391
6416676567175682048,5699,55953,629,2.099798
6416687287414052864,5699,55953,668,2.558877
8645851478941259776,7679,57367,240,2.017267
8646010358371473408,7679,57367,818,2.429481
8655977431159822336,7688,57360,214,2.262142
7742991340276045824,6877,56544,646,2.466254
8629122959280461824,7664,57367,822,2.588953
7066317795068499968,6276,56269,618,2.275367
8662752072037586944,7694,57359,284,2.046659
8662776261293398016,7694,57359,372,2.693227
8662709191084103680,7694,57359,128,2.284805
8626862912978573312,7662,57358,792,2.177653
8626886552478570496,7662,57358,878,2.136404
8626895073693685760,7662,57358,909,2.723799
8626895898327406592,7662,57358,912,2.422861
7070876375327201280,6280,56570,818,2.343513
8661639366303832064,7693,57361,332,2.393774
8661608579978254336,7693,57361,220,2.034934
8661575594629421056,7693,57361,100,2.054951
8624609189002762240,7660,57357,785,2.256921
7072957201116321792,6282,56572,196,2.290592
7075333241348315136,6284,56310,648,2.694434
8636901454173722624,7671,57360,448,2.23566
8624653444345780224,7660,57357,946,2.832922
8868848921860134912,7877,56898,492,2.188112
8868842324790368256,7877,56898,468,2.842457
4901102310682548224,4353,55532,218,2.366871
4901278507420899328,4353,55532,859,2.329257
4900059149042472960,4352,55533,519,2.521194
8868826106993858560,7877,56898,409,2.309502
4900085812199446528,4352,55533,616,2.351106
8868793396522932224,7877,56898,290,2.779293
8868743368743868416,7877,56898,108,2.451605
8868744468255496192,7877,56898,112,2.357693
8868721378511312896,7877,56898,28,2.478992
8868733473139218432,7877,56898,72,2.541614
8833947125702481920,7846,56984,496,2.721263
4898929675806726144,4351,55538,506,2.602277
4898946718236956672,4351,55538,568,2.291205
8833904244748998656,7846,56984,340,2.259123
8833887202318768128,7846,56984,278,2.030181
4898981077975324672,4351,55538,693,2.171055
10504806789446653952,9330,57743,584,2.074549
8833842122342029312,7846,56984,114,2.543125
5063295669479168000,4497,55564,450,2.379514
5057760727961720832,4492,55565,794,2.339395
12506704389837445120,11108,58467,757,2.664468
12506736550552557568,11108,58467,874,2.571879
10808873712541259776,9600,58106,853,2.047425
10814370446079973376,9605,58108,370,2.84169
10814369896324159488,9605,58108,368,2.201509
12514564524375037952,11115,58514,680,2.057724
10814350654870673408,9605,58108,298,2.525012
12514614552154101760,11115,58514,862,2.057752
10814318769033467904,9605,58108,182,2.515136
12514614277276194816,11115,58514,861,2.168173
12522330923465988096,11122,58437,262,2.001557
5831188549597419520,5179,55957,556,2.295187
10814542794527627264,9605,58108,997,2.37198
5833310612760057856,5181,56298,84,2.350031
5831186350574163968,5179,55957,548,2.165456
12522280071053203456,11122,58437,77,2.037437
12522533783361312768,11122,58437,1000,2.363185
6507820863823566848,5780,56274,434,2.460191
5831265515411363840,5179,55957,836,2.46482
12003277043175544832,10661,58171,211,2.555046
6529288829211531264,5799,56325,710,2.316597
11518022430552774656,10230,58224,241,2.532755
6522461137082275840,5793,56337,447,2.874425
6522399839309027328,5793,56337,224,2.095104
11520337177390372864,10232,58223,470,2.087429
6522367403716007936,5793,56337,106,2.308098
6522357233233451008,5793,56337,69,2.527553
11520294296436889600,10232,58223,314,2.028358
11520295395948517376,10232,58223,318,2.075976
11520433384657803264,10232,58223,820,2.519031
7273443521721554944,6460,56334,473,2.68437
7273434175872718848,6460,56334,439,2.228753
11520465820250822656,10232,58223,938,2.347737
5466305170039396352,4855,55926,222,2.199876
5466273284202190848,4855,55926,106,2.262852
5466274383713818624,4855,55926,110,2.267438
5466262563963820032,4855,55926,67,2.794301
5466250469335914496,4855,55926,23,2.539456
5466253492992890880,4855,55926,34,2.565656
5460743840276436992,4850,55929,470,2.219277
5460741091497367552,4850,55929,460,2.215064
5460722399799695360,4850,55929,392,2.180399
5460708655904348160,4850,55929,342,2.522744
