Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
117,117,2286.54,5.17253e-17,2.09654e-17
118,118,2287.06,5.17622e-17,2.10306e-17
119,119,2287.57,6.03542e-17,2.27243e-17
120,120,2288.08,6.87276e-17,2.41176e-17
121,121,2288.6,5.99963e-17,2.23405e-17
122,122,2289.11,2.6329600000000002e-17,1.45022e-17
123,123,2289.63,7.62887e-17,2.4932e-17
124,124,2290.14,6.77947e-17,2.33569e-17
125,125,2290.65,5.93734e-17,2.16732e-17
126,126,2291.17,3.481522e-17,1.63173e-17
127,127,2291.68,5.11622e-17,2.00373e-17
128,128,2292.19,4.300049000000001e-17,1.83922e-17
129,129,2292.71,6.7953e-17,2.3493e-17
130,130,2293.22,5.13903e-17,2.04319e-17
131,131,2293.74,3.470811e-17,1.6676e-17
132,132,2294.25,4.3014540000000004e-17,1.84925e-17
133,133,2294.76,3.478609e-17,1.63855e-17
134,134,2295.28,2.665390000000001e-17,1.41213e-17
135,135,2295.79,7.5608e-17,2.44844e-17
136,136,2296.3,1.829180000000001e-17,1.16441e-17
137,137,2296.82,6.8139e-17,2.36553e-17
138,138,2297.33,7.70115e-17,2.5435e-17
139,139,2297.84,6.87773e-17,2.41822e-17
140,140,2298.36,4.312054000000001e-17,1.90859e-17
141,141,2298.87,3.461748e-17,1.69498e-17
142,142,2299.39,5.991390000000001e-17,2.2285e-17
143,143,2299.9,9.4947e-18,8.389270000000001e-18
144,144,2300.41,2.62905e-17,1.451e-17
145,145,2300.93,6.804100000000001e-17,2.35839e-17
146,146,2301.44,1.816720000000001e-17,1.17055e-17
147,147,2301.95,2.65752e-17,1.41892e-17
148,148,2302.47,7.52784e-17,2.42735e-17
149,149,2302.98,1.882830000000001e-17,1.13381e-17
150,150,2303.49,6.67426e-17,2.25218e-17
151,151,2304.01,2.6993800000000002e-17,1.37188e-17
152,152,2304.52,5.06538e-17,1.92303e-17
153,153,2305.03,7.39311e-17,2.33673e-17
154,154,2305.55,4.274098e-17,1.72514e-17
155,155,2306.06,5.805860000000001e-17,2.02913e-17
156,156,2306.58,5.79349e-17,2.01584e-17
157,157,2307.09,5.0264500000000006e-17,1.85778e-17
158,158,2307.6,3.5115270000000005e-17,1.50953e-17
159,159,2308.12,4.263918e-17,1.67617e-17
160,160,2308.63,5.00795e-17,1.82685e-17
161,161,2309.14,6.485980000000001e-17,2.09837e-17
162,162,2309.66,8.70446e-17,2.45692e-17
163,163,2310.17,6.492210000000001e-17,2.10367e-17
164,164,2310.68,2.01627e-17,1.05916e-17
165,165,2311.2,5.02411e-17,1.85527e-17
166,166,2311.71,2.73697e-17,1.32829e-17
167,167,2312.22,3.495694e-17,1.56245e-17
168,168,2312.74,5.0835000000000004e-17,1.95698e-17
169,169,2313.25,5.11186e-17,2.0055e-17
170,170,2313.76,6.820530000000001e-17,2.37442e-17
